Bjelovarsko.bilogorska,Brodsko.posavska,Dubrovačko.neretvanska,Grad.Zagreb,Istarska,Karlovačka,Koprivničko.križevačka,Krapinsko.zagorska,Ličko.senjska,Međimurska,Osječko.baranjska,Požeško.slavonska,Primorsko.goranska,Šibensko.kninska,Sisačko.moslavačka,Splitsko.dalmatinska,Varaždinska,Virovitičko.podravska,Vukovarsko.srijemska,Zadarska,Zagrebačka,Hrvatska,Datum
9,1,17,199,3,16,5,9,3,16,16,6,16,4,20,63,14,18,15,6,30,486,2020-10-09
21,12,4,145,3,24,5,45,8,26,38,8,10,3,18,27,4,26,40,6,35,508,2020-10-10
1,5,1,82,1,2,0,16,3,1,14,1,0,1,3,10,26,2,4,0,8,181,2020-10-11
5,7,12,123,1,8,4,8,0,17,13,6,23,2,14,66,13,14,6,2,28,372,2020-10-12
9,5,21,206,6,29,8,44,10,47,37,12,24,5,10,128,28,1,35,15,68,748,2020-10-13
13,8,22,212,9,37,12,75,23,23,67,21,15,11,54,80,17,29,11,8,46,793,2020-10-14
13,7,19,344,4,44,11,66,50,50,142,7,29,17,10,73,55,21,67,14,88,1131,2020-10-15
26,21,41,250,15,20,8,113,13,59,95,12,34,11,39,106,55,28,32,27,89,1094,2020-10-16
18,6,23,317,7,47,8,82,9,38,26,7,19,8,25,52,9,34,17,9,60,821,2020-10-17
10,27,5,139,5,2,2,19,3,5,44,0,3,2,12,25,7,1,44,9,29,393,2020-10-18
13,10,27,255,14,11,5,34,4,24,37,11,63,5,26,156,63,23,16,9,84,890,2020-10-19
36,33,32,502,29,33,43,13,12,80,89,3,63,32,5,177,71,9,40,24,98,1424,2020-10-20
19,24,46,465,50,27,18,132,8,73,124,23,75,15,63,155,73,4,46,17,106,1563,2020-10-21
49,31,30,592,64,37,11,55,23,85,126,5,87,46,49,212,98,66,64,21,116,1867,2020-10-22
44,37,51,681,45,47,46,105,15,124,207,30,76,20,42,274,105,8,61,29,195,2242,2020-10-23
77,45,41,757,64,121,12,171,21,84,173,16,133,34,92,98,99,62,66,20,235,2421,2020-10-24
69,76,6,244,7,12,6,72,8,13,45,1,28,8,12,48,39,4,40,25,65,828,2020-10-25
9,47,72,280,51,42,15,76,5,72,107,21,89,9,73,230,27,28,59,28,73,1413,2020-10-26
35,56,66,699,60,47,81,57,38,78,112,14,174,37,62,360,131,16,46,38,171,2378,2020-10-27
38,65,116,705,51,81,43,121,18,171,226,15,193,31,75,283,138,40,76,40,250,2776,2020-10-28
47,156,66,743,48,68,8,153,16,150,193,10,144,58,77,316,135,55,86,69,174,2772,2020-10-29
50,120,60,781,39,50,82,151,16,151,207,14,125,58,40,272,135,30,65,37,286,2769,2020-10-30
75,82,56,684,38,35,12,107,19,93,106,19,114,25,106,99,115,37,128,40,189,2179,2020-10-31
48,90,21,322,10,5,24,46,7,4,123,4,36,5,14,68,186,19,54,18,61,1165,2020-11-01
9,20,52,281,50,46,36,25,12,68,96,14,91,24,70,251,146,6,32,27,71,1427,2020-11-02
19,68,58,677,61,60,53,105,22,182,122,25,165,15,31,396,136,9,58,35,183,2480,2020-11-03
28,161,72,650,84,51,22,136,12,170,136,16,197,45,23,302,278,78,98,61,228,2848,2020-11-04
37,135,54,664,95,73,62,168,15,125,139,32,195,55,130,332,240,32,36,72,199,2890,2020-11-05
25,90,54,575,73,40,56,29,7,132,217,15,74,59,20,291,241,24,89,47,241,2399,2020-11-06
34,75,47,461,80,55,68,125,19,117,225,36,182,26,171,225,244,21,123,40,169,2543,2020-11-07
65,97,43,316,68,12,5,52,6,6,101,4,123,2,16,48,211,26,126,28,174,1529,2020-11-08
